Població. Per sexe i edat any a any
Catalunya. 2019
Font: Idescat, a partir del Padró continu de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=1180&lang=es
;Homes;Dones;Total
De 0 anys;32016;30560;62576
D'1 any;35027;32999;68026
De 2 anys;36200;34421;70621
De 3 anys;37654;35508;73162
De 4 anys;38525;36018;74543
De 5 anys;38072;36000;74072
De 6 anys;40568;38267;78835
De 7 anys;41753;39534;81287
De 8 anys;43062;40404;83466
De 9 anys;43786;40733;84519
De 10 anys;45290;42675;87965
D'11 anys;43404;40823;84227
De 12 anys;43295;40911;84206
De 13 anys;42582;40186;82768
De 14 anys;41941;39902;81843
De 15 anys;41269;38653;79922
De 16 anys;39878;37120;76998
De 17 anys;39541;36401;75942
De 18 anys;40466;37317;77783
De 19 anys;39383;36692;76075
De 20 anys;38669;35479;74148
De 21 anys;39067;36862;75929
De 22 anys;39107;36438;75545
De 23 anys;39133;37527;76660
De 24 anys;40150;38879;79029
De 25 anys;41274;40389;81663
De 26 anys;43087;42189;85276
De 27 anys;43005;42386;85391
De 28 anys;43845;43508;87353
De 29 anys;44534;44466;89000
De 30 anys;45425;45875;91300
De 31 anys;45943;45907;91850
De 32 anys;46580;47715;94295
De 33 anys;48869;49130;97999
De 34 anys;50165;50623;100788
De 35 anys;52178;52229;104407
De 36 anys;55744;55068;110812
De 37 anys;58891;57115;116006
De 38 anys;61628;60401;122029
De 39 anys;64247;61959;126206
De 40 anys;67775;64854;132629
De 41 anys;69229;65927;135156
De 42 anys;69912;66665;136577
De 43 anys;70342;66504;136846
De 44 anys;69283;65601;134884
De 45 anys;66764;63642;130406
De 46 anys;65721;62701;128422
De 47 anys;63842;60702;124544
De 48 anys;62417;60027;122444
De 49 anys;59978;58177;118155
De 50 anys;59073;57342;116415
De 51 anys;58792;57834;116626
De 52 anys;57354;56187;113541
De 53 anys;55679;55739;111418
De 54 anys;55801;55942;111743
De 55 anys;51568;52995;104563
De 56 anys;50203;51628;101831
De 57 anys;47920;50538;98458
De 58 anys;47852;50636;98488
De 59 anys;46369;49878;96247
De 60 anys;45880;48985;94865
De 61 anys;44309;47762;92071
De 62 anys;41350;44939;86289
De 63 anys;40202;43858;84060
De 64 anys;38612;42651;81263
De 65 anys;38310;42263;80573
De 66 anys;37902;42126;80028
De 67 anys;35055;39731;74786
De 68 anys;33705;38621;72326
De 69 anys;35087;40208;75295
De 70 anys;36334;42663;78997
De 71 anys;33040;38486;71526
De 72 anys;30437;36123;66560
De 73 anys;31642;37809;69451
De 74 anys;28839;35381;64220
De 75 anys;27651;34007;61658
De 76 anys;23214;28598;51812
De 77 anys;21145;26913;48058
De 78 anys;25942;32716;58658
De 79 anys;14012;18507;32519
De 80 anys;16380;22421;38801
De 81 anys;19000;26598;45598
De 82 anys;18614;27934;46548
De 83 anys;16940;25714;42654
De 84 anys;15520;24399;39919
De 85 anys;14378;23797;38175
De 86 anys;12861;22145;35006
De 87 anys;10958;19974;30932
De 88 anys;9415;18438;27853
De 89 anys;7757;15407;23164
De 90 anys;6259;13403;19662
De 91 anys;4938;11196;16134
De 92 anys;3923;9738;13661
De 93 anys;2908;7684;10592
De 94 anys;2140;6029;8169
De 95 anys;1471;4576;6047
De 96 anys;1088;3418;4506
De 97 anys;680;2381;3061
De 98 anys;434;1665;2099
De 99 anys;230;1106;1336
De 100 anys i més;434;1936;2370
Total;3770123;3905094;7675217

